timestamp,ecg_value
1745749181635,342
1745749181639,341
1745749181647,341
1745749181651,342
1745749181655,342
1745749181659,342
1745749181668,342
1745749181672,343
1745749181676,343
1745749181680,344
1745749181688,344
1745749181692,344
1745749181696,344
1745749181701,343
1745749181708,342
1745749181713,341
1745749181717,339
1745749181725,335
1745749181729,333
1745749181733,332
1745749181737,329
1745749181745,324
1745749181750,322
1745749181754,322
1745749181758,320
1745749181766,321
1745749181770,324
1745749181774,325
1745749181782,326
1745749181786,326
1745749181791,326
1745749181795,322
1745749181803,323
1745749181807,327
1745749181811,327
1745749181815,324
1745749181823,326
1745749181827,328
1745749181831,330
1745749181839,329
1745749181844,328
1745749181848,331
1745749181852,330
1745749181860,332
1745749181864,334
1745749181868,333
1745749181872,332
1745749181880,332
1745749181884,334
1745749181889,337
1745749181897,335
1745749181901,333
1745749181905,336
1745749181909,340
1745749181918,340
1745749181922,337
1745749181926,336
1745749181930,339
1745749181938,341
1745749181942,344
1745749181946,342
1745749181954,340
1745749181958,338
1745749181962,336
1745749181967,334
1745749181975,336
1745749181979,337
1745749181983,341
1745749181987,345
1745749181995,347
1745749181999,350
1745749182003,353
1745749182007,357
1745749182016,361
1745749182020,359
1745749182024,352
1745749182032,347
1745749182036,343
1745749182040,343
1745749182044,346
1745749182052,348
1745749182057,347
1745749182061,346
1745749182065,347
1745749182073,348
1745749182077,345
1745749182081,334
1745749182089,318
1745749182093,317
1745749182097,345
1745749182102,402
1745749182110,466
1745749182114,506
1745749182118,478
1745749182122,405
1745749182130,363
1745749182134,364
1745749182139,378
1745749182147,373
1745749182151,350
1745749182155,335
1745749182159,335
1745749182167,338
1745749182171,338
1745749182175,336
1745749182179,332
1745749182188,333
1745749182192,336
1745749182196,339
1745749182204,340
1745749182208,340
1745749182213,339
1745749182217,339
1745749182225,339
1745749182229,339
1745749182233,342
1745749182237,340
1745749182245,338
1745749182249,342
1745749182253,342
1745749182258,341
1745749182266,342
1745749182270,341
1745749182274,341
1745749182282,343
1745749182286,346
1745749182290,346
1745749182294,346
1745749182303,347
1745749182307,349
1745749182311,351
1745749182315,354
1745749182323,356
1745749182327,359
1745749182331,361
1745749182339,361
1745749182343,362
1745749182348,359
1745749182351,360
1745749182360,361
1745749182364,356
1745749182368,350
1745749182372,347
1745749182380,344
1745749182384,342
1745749182388,341
1745749182397,339
1745749182401,338
1745749182405,335
1745749182409,336
1745749182417,340
1745749182421,340
1745749182425,339
1745749182429,335
1745749182437,335
1745749182442,338
1745749182446,340
1745749182454,341
1745749182458,342
1745749182462,341
1745749182466,340
1745749182474,340
1745749182479,339
1745749182483,336
1745749182487,337
1745749182495,337
1745749182499,340
1745749182503,341
1745749182511,340
1745749182515,338
1745749182519,338
1745749182524,343
1745749182532,344
1745749182536,342
1745749182540,342
1745749182544,340
1745749182552,340
1745749182556,342
1745749182560,339
1745749182565,338
1745749182572,342
1745749182577,343
1745749182581,341
1745749182589,341
1745749182593,343
1745749182597,342
1745749182601,340
1745749182609,341
1745749182614,340
1745749182618,340
1745749182622,340
1745749182630,341
1745749182634,340
1745749182638,337
